'census_2010_block_id','sector_id','number_of_jobs','census_block_id'
'530330005001004',11,1,17966
'530330005001006',4,1,17965
'530330005001006',7,1,17965
'530330005001007',7,1,17964
'530330005001007',9,9,17964
'530330005001009',7,1,4528
'530330005001013',2,2,12782
'530330005001013',4,4,12782
'530330005001013',5,5,12782
'530330005001013',7,1,12782
'530330005001013',9,1,12782
'530330005001013',11,21,12782
'530330005001013',12,3,12782
'530330005001014',2,2,24634
'530330005001015',2,4,4757
'530330005001015',4,5,4757
'530330005001015',5,2,4757
'530330005001015',7,6,4757
'530330005001015',8,1,4757
'530330005001015',9,2,4757
'530330005001015',11,8,4757
'530330005001016',7,-2,22090
'530330005001016',11,-3,22090
'530330005001019',7,2,24265
'530330005001019',11,2,24265
'530330005001020',7,2,24266
'530330005002000',7,5,4758
'530330005002000',10,1,4758
'530330005002001',7,1,4759
'530330005002001',11,1,4759
'530330005002002',7,1,4760
'530330005002002',11,2,4760
'530330005002003',2,3,4761
'530330005002003',7,3,4761
'530330005002003',11,1,4761
'530330005002004',3,1,12999
'530330005002004',11,1,12999
'530330005002005',11,1,13007
'530330005002006',2,3,13006
'530330005002006',7,1,13006
'530330005002007',4,1,13000
'530330005002008',1,1,4976
'530330005002008',2,2,4976
'530330005002008',7,4,4976
'530330005002009',7,2,13009
'530330005002011',11,1,12353
'530330005002012',7,3,4972
'530330005002013',9,1,4971
'530330005002014',9,4,4970
'530330005002016',7,5,13559
'530330005002017',7,2,4975
'530330005002017',11,1,4975
'530330005002018',1,2,4974
'530330005002019',2,4,4973
'530330005002019',7,1,4973
'530330005003000',9,3,13003
'530330005003001',11,3,13008
'530330005003002',5,1,24267
'530330005003002',7,1,24267
'530330005003002',11,1,24267
'530330005003003',11,1,24269
'530330005003008',4,1,13561
'530330005003008',11,1,13561
'530330005003009',7,1,5959
'530330005003009',9,1,5959
'530330005003009',11,3,5959
'530330005003010',7,4,13564
'530330005003011',7,7,24191
'530330005003012',4,2,24192
'530330005003012',11,3,24192
'530330005003013',7,7,8339
'530330005003013',11,3,8339
'530330005003014',2,2,12332
'530330005003014',7,1,12332
'530330005003015',2,2,7348
'530330005003015',3,1,7348
'530330005003015',5,1,7348
'530330005003015',7,3,7348
'530330005003015',8,1,7348
'530330005003015',9,1,7348
'530330005003015',11,6,7348
'530330005003016',7,1,21882
'530330005003016',11,-10,21882
'530330005003017',7,-2,13560
'530330005003017',11,1,13560
'530330006001000',9,1,22024
'530330006001000',11,2,22024
'530330006001001',3,1,22023
'530330006001001',7,1,22023
'530330006001002',7,1,22022
'530330006001002',9,1,22022
'530330006001003',7,1,22021
'530330006001004',2,71,10444
'530330006001004',4,7,10444
'530330006001004',5,134,10444
'530330006001004',7,64,10444
'530330006001004',8,0,10444
'530330006001004',9,1,10444
'530330006001004',10,15,10444
'530330006001004',11,5,10444
'530330006001004',12,33,10444
'530330006001004',13,5,10444
'530330006001005',4,1,22334
'530330006001005',7,5,22334
'530330006001005',11,1,22334
'530330006001006',7,1,22333
'530330006001007',3,4,15846
'530330006001007',5,2,15846
'530330006001007',8,1,15846
'530330006001007',9,2,15846
'530330006001007',10,1,15846
'530330006001008',2,2,19786
'530330006001008',7,4,19786
'530330006001009',2,4,22331
'530330006001009',7,1,22331
'530330006001009',9,1,22331
'530330006001010',2,3,10443
'530330006001010',8,3,10443
'530330006001010',11,22,10443
'530330006001010',12,21,10443
'530330006001010',13,130,10443
'530330006001011',2,6,22330
'530330006001012',2,3,22329
'530330006001012',7,4,22329
'530330006001012',9,1,22329
'530330006001012',11,1,22329
'530330006001013',2,3,22328
'530330006001013',4,1,22328
'530330006001013',7,11,22328
'530330006001014',9,1,9545
'530330006001015',9,22,9547
'530330006001016',5,90,10445
'530330006001016',7,31,10445
'530330006001016',10,50,10445
'530330006001016',11,55,10445
'530330006001020',5,14,10450
'530330006001020',7,8,10450
'530330006001020',11,2,10450
'530330006001021',2,1,10451
'530330006001021',3,10,10451
'530330006001021',9,1,10451
'530330006001021',11,32,10451
'530330006001021',12,15,10451
'530330006001022',7,13,10446
'530330006001022',12,88,10446
'530330006001023',4,2,15847
'530330006001023',5,1,15847
'530330006001023',7,3,15847
'530330006001023',8,1,15847
'530330004021013',7,1,9534
'530330004021014',5,14,9531
'530330004021014',7,1,9531
'530330004021014',9,3,9531
'530330004021014',10,8,9531
'530330004021014',11,3,9531
'530330004022000',2,7,24190
'530330004022000',3,-17,24190
'530330004022000',4,13,24190
'530330004022000',5,16,24190
'530330004022000',7,18,24190
'530330004022000',8,1,24190
'530330004022000',9,-4,24190
'530330004022000',11,8,24190
'530330004022001',3,34,4474
'530330004022001',4,1,4474
'530330004022001',9,11,4474
'530330004022001',11,1,4474
'530330004022002',4,1,4476
'530330004022002',5,3,4476
'530330004022002',8,1,4476
'530330004022002',11,1,4476
'530330004022003',2,64,10442
'530330004022003',3,23,10442
'530330004022003',4,2,10442
'530330004022003',5,1,10442
'530330004022003',9,59,10442
'530330004022003',11,8,10442
'530330004022004',2,2,10441
'530330004022004',5,176,10441
'530330004022004',7,5,10441
'530330004022004',10,54,10441
'530330004022004',11,65,10441
'530330004022005',7,2,10448
'530330004022006',3,1,21984
'530330004022006',9,1,21984
'530330004022006',10,1,21984
'530330004022007',2,1,15812
'530330004022007',7,10,15812
'530330004022007',10,5,15812
'530330004022007',11,18,15812
'530330004022008',8,1,21985
'530330004022009',3,2,21975
'530330004022010',2,8,21976
'530330004022010',7,1,21976
'530330004022010',11,1,21976
'530330004022011',3,11,12354
'530330004022011',5,1,12354
'530330004022011',7,9,12354
'530330004022011',8,2,12354
'530330004022011',9,5,12354
'530330004022011',10,1,12354
'530330004022011',11,131,12354
'530330004022012',4,1,12359
'530330004022012',8,1,12359
'530330004022013',9,1,12358
'530330004022013',11,1,12358
'530330004022014',4,1,12355
'530330004022014',7,15,12355
'530330004022014',11,21,12355
'530330004022015',5,1,12362
'530330004022016',2,3,12363
'530330006001024',8,1,15857
'530330006001024',9,3,15857
'530330006002000',2,1,4193
'530330006002000',7,5,4193
'530330006002000',11,1,4193
'530330006002000',12,22,4193
'530330006002001',11,2,15510
'530330006002002',4,3,11307
'530330006002002',5,2,11307
'530330006002002',7,10,11307
'530330006002002',9,2,11307
'530330006002002',11,3,11307
'530330006002003',2,3,11308
'530330006002003',7,5,11308
'530330006002003',8,1,11308
'530330006002003',11,2,11308
'530330006002004',8,0,11311
'530330006002004',13,30,11311
'530330006002005',2,3,11309
'530330006002005',5,5,11309
'530330006002005',7,4,11309
'530330006002005',8,2,11309
'530330006002005',9,22,11309
'530330006002005',10,15,11309
'530330006002005',11,3,11309
'530330006002005',12,1,11309
'530330006002006',2,11,11310
'530330006002006',3,1,11310
'530330006002006',4,22,11310
'530330006002006',7,4,11310
'530330006002006',8,1,11310
'530330006002006',9,73,11310
'530330006002006',11,4,11310
'530330006003000',7,4,15848
'530330006003001',2,1,15850
'530330006003001',5,10,15850
'530330006003001',7,7,15850
'530330006003001',9,18,15850
'530330006003001',10,8,15850
'530330006003001',11,18,15850
'530330006003002',2,3,15849
'530330006003002',9,-2,15849
'530330006003004',10,1,15855
'530330006003004',11,2,15855
'530330006003005',5,1,10453
'530330006003005',7,3,10453
'530330006003005',8,2,10453
'530330006003005',12,84,10453
'530330006003005',13,0,10453
'530330006003006',2,562,8901
'530330006003006',3,1,8901
'530330006003006',7,211,8901
'530330006003006',9,41,8901
'530330006003006',10,6,8901
'530330006003006',11,16,8901
'530330006003006',12,1,8901
'530330006003007',2,5,15811
'530330006003007',3,4,15811
'530330006003007',4,55,15811
'530330006003007',5,336,15811
'530330006003007',7,9,15811
'530330006003007',9,31,15811
'530330006003007',10,48,15811
'530330006003007',11,36,15811
'530330006003011',9,11,15853
'530330006003012',2,4,15822
'530330006003012',9,1,15822
'530330006003012',11,1,15822
'530330006003016',7,15,21549
'530330006003017',5,1,15851
'530330006003017',7,2,15851
'530330006003017',8,1,15851
'530330006003017',11,1,15851
'530330006004000',7,2,15852
'530330006004000',11,3,15852
'530330006004001',3,2,11363
'530330006004002',4,4,11364
'530330006004002',5,1,11364
'530330006004002',7,2,11364
'530330006004002',8,1,11364
'530330006004002',9,1,11364
'530330006004002',11,2,11364
'530330006004003',2,2,22313
'530330006004003',8,4,22313
'530330006004003',11,1,22313
'530330006004003',13,53,22313
'530330006004004',3,1,22312
'530330006004004',7,4,22312
'530330006004005',2,1,15816
'530330006004005',3,140,15816
'530330006004005',7,1,15816
'530330006004005',9,12,15816
'530330006004007',5,0,15821
'530330006004007',7,-60,15821
'530330006004007',9,-8,15821
'530330006004007',10,1,15821
'530330006004012',7,1,22307
'530330006004012',8,0,22307
'530330006004012',9,1,22307
'530330006004012',10,1,22307
'530330006004012',11,1,22307
'530330006004012',13,3,22307
'530330006004013',2,1,22308
'530330006004013',5,1,22308
'530330006004013',7,5,22308
'530330006004013',8,1,22308
'530330006004013',9,2,22308
'530330006004013',11,2,22308
'530330006004015',3,19,2077
'530330006004015',4,15,2077
'530330006004015',5,9,2077
'530330006004015',7,139,2077
'530330006004015',9,233,2077
'530330006004015',10,1,2077
'530330006004015',11,25,2077
'530330006004016',7,1,22123
'530330006004016',11,2,22123
'530330006004017',2,8,22122
'530330006004017',7,2,22122
'530330006004017',11,2,22122
'530330006004018',4,2,15817
'530330006004018',7,4,15817
'530330006004018',9,47,15817
'530330006004018',11,1,15817
'530330006004020',3,61,15820
'530330006004020',7,11,15820
'530330006004020',9,3337,15820
'530330006004020',11,4,15820
'530330006004020',12,1,15820
'530330006004024',3,-40,15818
'530330006004024',5,18,15818
'530330006004024',7,57,15818
'530330006004024',9,-1416,15818
'530330006004029',7,60,15819
'530330006004029',9,15,15819
'530330006004030',2,2,20090
'530330006004030',5,6,20090
'530330006004030',7,6,20090
'530330006004030',9,1,20090
'530330006004030',10,15,20090
'530330006004030',11,1,20090
'530330006005004',7,7,20135
'530330006005004',8,1,20135
'530330006005004',9,3,20135
'530330006005004',10,1,20135
'530330006005004',11,2,20135
'530330006005006',7,1,22314
'530330006005007',7,1,22321
'530330006005007',8,6,22321
'530330006005007',13,0,22321
'530330006005008',8,32,22320
'530330006005008',13,0,22320
'530330006005009',2,2,12239
'530330006005009',7,2,12239
'530330006005009',9,2,12239
'530330006005012',9,1,12241
'530330006005013',11,1,12243
'530330006005014',7,7,22315
'530330006005014',9,2,22315
'530330006005015',2,2,12242
'530330006005015',5,2,12242
'530330006005015',11,4,12242
'530330006005016',3,-7,22310
'530330006005016',11,1,22310
'530330006005017',9,1,22045
'530330006005018',4,1,22311
'530330006006000',4,1,4192
'530330006006000',7,35,4192
'530330006006000',9,8,4192
'530330006006000',10,4,4192
'530330006006000',11,3,4192
'530330006006001',4,1,13863
'530330006006001',7,0,13863
'530330006006001',11,1,13863
'530330006006002',4,4,12591
'530330006006002',9,1,12591
'530330006006002',11,2,12591
'530330006006004',2,1,12335
'530330006006004',4,2,12335
'530330006006004',7,10,12335
'530330006006004',8,16,12335
'530330006006004',9,14,12335
'530330006006004',10,8,12335
'530330006006004',11,2,12335
'530330006006004',13,0,12335
'530330006006005',7,3,22319
'530330006006005',9,2,22319
'530330006006005',11,1,22319
'530330006006006',9,1,22318
'530330006006007',7,1,12240
'530330006006007',9,1,12240
'530330006006007',11,1,12240
'530330006006008',2,4,12244
'530330006006008',7,2,12244
'530330006006008',9,10,12244
'530330006006008',11,1,12244
'530330006006009',11,1,22316
'530330006006010',2,2,22317
'530330006006010',11,1,22317
'530330006006011',4,1,20827
'530330006006011',11,1,20827
'530330007001000',3,8,23863
'530330007001000',4,2,23863
'530330007001000',5,1,23863
'530330007001000',7,11,23863
'530330007001000',9,9,23863
'530330007001000',10,1,23863
'530330007001000',11,2,23863
'530330007001001',2,13,25468
'530330007001001',7,12,25468
'530330007001001',8,10,25468
'530330007001001',9,10,25468
'530330007001001',11,2,25468
'530330007001001',13,0,25468
'530330007001002',4,4,20259
'530330007001002',7,53,20259
'530330007001002',9,33,20259
'530330007001002',10,15,20259
'530330007001002',11,13,20259
'530330007001002',12,17,20259
'530330007001003',2,2,26279
'530330007001003',3,4,26279
'530330007001003',4,5,26279
'530330007001003',5,2,26279
'530330007001003',7,11,26279
'530330007001003',8,12,26279
'530330007001003',10,15,26279
'530330007001003',11,13,26279
'530330007001003',12,37,26279
'530330007001003',13,0,26279
'530330007001004',3,1,17548
'530330007001004',4,2,17548
'530330007001004',7,8,17548
'530330007001004',9,3,17548
'530330007001004',10,44,17548
'530330007001004',11,4,17548
'530330007001005',2,2,26282
'530330007001005',3,1,26282
'530330007001005',4,5,26282
'530330007001005',7,1,26282
'530330007001006',4,2,24068
'530330007001006',7,5,24068
'530330007001006',10,1,24068
'530330007001007',2,23,7948
'530330007001007',7,2,7948
'530330007001007',9,2,7948
'530330007001007',11,4,7948
'530330007001008',2,3,26283
'530330007001008',4,2,26283
'530330007001008',7,2,26283
'530330007001008',9,3,26283
'530330007001008',11,1,26283
'530330007001009',2,2,26281
'530330007001009',3,2,26281
'530330007001009',5,10,26281
'530330007001009',7,2,26281
'530330007001009',11,46,26281
'530330007001009',12,2,26281
'530330007001010',4,0,26280
'530330007001010',5,1,26280
'530330007001010',7,16,26280
'530330007001010',9,-4,26280
'530330007001010',10,15,26280
'530330007001010',11,28,26280
'530330007001011',2,2,17551
'530330007001011',5,5,17551
'530330007001011',7,0,17551
'530330007001011',10,16,17551
'530330007001011',11,8,17551
'530330007001012',2,2,17552
'530330007001012',4,2,17552
'530330007001012',5,2,17552
'530330007002000',4,5,14984
'530330007002000',5,1,14984
'530330007002000',7,12,14984
'530330007002000',8,1,14984
'530330007002000',9,78,14984
'530330007002000',11,2,14984
'530330007002001',5,1,2592
'530330007002002',7,1,17549
'530330007002002',11,3,17549
'530330007002003',11,1,17550
'530330007002004',7,4,17555
'530330007002004',11,-1,17555
'530330007002005',7,2,17558
'530330007002006',5,7,17559
'530330007002006',7,1,17559
'530330007002006',9,2,17559
'530330007002006',11,1,17559
'530330007002007',2,3,17560
'530330007002007',5,1,17560
'530330007002007',7,4,17560
'530330007002007',9,1,17560
'530330007002007',11,1,17560
'530330007002008',5,137,17561
'530330007002008',7,2,17561
'530330007002008',10,1,17561
'530330007002010',5,49,17562
'530330007002010',7,27,17562
'530330007002010',8,1,17562
'530330007002010',9,4,17562
'530330007002010',11,15,17562
'530330007002011',5,2,17556
'530330007002011',7,4,17556
'530330007002011',10,55,17556
'530330007002011',11,1,17556
'530330007002012',8,1,17566
'530330007002013',7,1,17565
'530330007002013',11,1,17565
'530330007002014',7,1,17567
'530330007002015',7,2,17564
'530330007002015',9,12,17564
'530330007002016',2,2,17557
'530330007002016',5,1,17557
'530330007002016',7,2,17557
'530330007002016',11,7,17557
'530330007002017',7,4,17553
'530330007002017',9,1,17553
'530330007002018',4,2,17554
'530330007002018',11,1,17554
'530330007002019',5,1,22466
'530330007002019',9,2,22466
'530330007003000',2,2,21400
'530330007003000',7,2,21400
'530330007003000',8,1,21400
'530330007003001',5,1,14987
'530330007003001',7,2,14987
'530330007003001',8,1,14987
'530330007003001',11,3,14987
'530330007003002',7,1,14981
'530330007003002',11,2,14981
'530330007003003',3,1,22677
'530330007003003',7,7,22677
'530330007003004',4,5,22676
'530330007003004',5,89,22676
'530330007003004',10,10,22676
'530330007003004',11,3,22676
'530330007003005',7,6,14331
'530330007003005',8,1,14331
'530330007003005',11,8,14331
'530330007003007',2,1,14986
'530330007003007',3,1,14986
'530330007003007',7,4,14986
'530330007003007',11,2,14986
'530330007003008',5,4,9962
'530330007003008',11,4,9962
'530330007003009',5,1,9961
'530330007003009',11,2,9961
'530330007003010',1,1,27214
'530330007003010',4,1,27214
'530330007003010',5,-182,27214
'530330007003010',7,-74,27214
'530330007003010',8,-1,27214
'530330007003010',9,-4,27214
'530330007003010',10,-83,27214
'530330007003010',11,-17,27214
'530330007003010',13,0,27214
'530330007004000',2,7,27814
'530330007004001',9,1,27815
'530330007004002',2,3,14975
'530330007004002',7,1,14975
'530330007004003',7,1,14976
'530330007004004',3,1,22667
'530330007004004',7,1,22667
'530330007004004',9,2,22667
'530330007004005',7,1,22669
'530330007004006',2,2,22671
'530330007004006',5,1,22671
'530330007004006',11,1,22671
'530330007004007',5,3,22673
'530330007004007',7,1,22673
'530330007004007',9,2,22673
'530330007004007',11,5,22673
'530330007004008',4,31,22675
'530330007004008',5,2,22675
'530330007004008',9,13,22675
'530330007004008',10,6,22675
'530330007004008',11,6,22675
'530330007004009',5,1,22860
'530330007004009',7,2,22860
'530330007004010',7,1,22861
'530330007004010',8,1,22861
'530330007004010',9,2,22861
'530330007004010',11,2,22861
'530330007004012',2,2,22668
'530330007004012',7,1,22668
'530330007004012',9,1,22668
'530330007004013',7,1,22670
'530330007004014',9,2,22672
'530330007004014',11,1,22672
'530330007004015',3,1,22674
'530330007004015',5,2,22674
'530330007004015',7,2,22674
'530330007004015',8,1,22674
'530330007004015',9,11,22674
'530330007004015',10,5,22674
'530330007004015',11,0,22674
'530330007004016',11,3,20127
'530330008001001',8,1,18421
'530330008001002',4,1,26266
'530330008001003',5,1,26267
'530330008001004',3,1,26268
'530330008001004',5,1,26268
'530330008001004',7,5,26268
'530330008001004',8,1,26268
'530330008001004',9,1,26268
'530330008001004',11,2,26268
'530330008001005',2,3,26269
'530330008001005',7,1,26269
'530330008001005',11,1,26269
'530330008001006',3,1,26270
'530330008001006',4,2,26270
'530330008001006',9,1,26270
'530330008001007',3,1,26271
'530330008001007',9,3,26271
'530330008001007',11,1,26271
'530330008001008',3,2,26272
'530330008001008',5,2,26272
'530330008001008',7,1,26272
'530330008001008',8,2,26272
'530330008001008',9,2,26272
'530330008001008',11,3,26272
'530330008001008',13,0,26272
'530330008001009',2,1,26273
'530330008001009',3,5,26273
'530330008001009',5,1,26273
'530330008001009',11,1,26273
'530330008001010',9,1,26275
'530330008001011',7,2,4176
'530330008001011',8,2,4176
'530330008001011',11,1,4176
'530330008001012',7,2,19085
'530330008001012',8,1,19085
'530330008001013',7,3,26278
'530330008001013',8,1,26278
'530330008001013',9,1,26278
'530330008001013',10,2,26278
'530330008001013',11,0,26278
'530330008001014',7,1,19081
'530330008001014',9,2,19081
'530330008001014',11,1,19081
'530330008001015',3,1,19080
'530330008001015',5,1,19080
'530330008001015',7,2,19080
'530330008001015',8,3,19080
'530330008001015',9,1,19080
'530330008001015',11,1,19080
'530330008001015',13,0,19080
'530330008001017',7,1,19083
'530330008001017',8,1,19083
'530330008001017',10,1,19083
'530330008001017',11,2,19083
'530330008001018',7,2,19082
'530330008001018',9,1,19082
'530330008002000',5,1,18988
'530330008002000',7,2,18988
'530330008002000',8,2,18988
'530330008002000',11,2,18988
'530330008002002',7,4,18989
'530330008002003',4,1,18990
'530330008002003',7,8,18990
'530330008002003',9,1,18990
'530330008002003',11,1,18990
'530330008002006',2,3,19452
'530330008002006',3,1,19452
'530330008002006',4,1,19452
'530330008002006',5,1,19452
'530330008002006',7,2,19452
'530330008002006',9,0,19452
'530330008002006',10,1,19452
'530330008002007',7,2,19451
'530330008002007',9,3,19451
'530330008002008',2,2,19450
'530330008002008',5,1,19450
'530330008002008',7,1,19450
'530330008002008',9,2,19450
'530330008002008',11,4,19450
'530330008002009',7,2,19436
'530330008002009',8,0,19436
'530330008002009',9,3,19436
'530330008002009',11,1,19436
'530330008002009',13,3,19436
'530330008002010',11,1,19446
'530330008002011',2,2,19445
'530330008002011',7,2,19445
'530330008002011',11,1,19445
'530330008002012',7,2,19447
'530330008002012',9,2,19447
'530330008002012',11,2,19447
'530330008002014',1,2,14363
'530330008002014',2,3,14363
'530330008002014',3,1,14363
'530330008002014',4,5,14363
'530330008002014',7,3,14363
'530330008002014',8,4,14363
'530330008002014',9,4,14363
'530330008002014',11,2,14363
'530330008002014',13,40,14363
'530330008002015',7,1,14366
'530330008002016',2,3,14367
'530330008002016',8,1,14367
'530330008002016',9,2,14367
'530330008002016',13,2,14367
'530330008002017',2,7,14370
'530330008002017',7,2,14370
'530330008002018',2,2,14365
'530330008002018',7,3,14365
'530330008002018',11,1,14365
'530330008002019',1,1,19449
'530330008002019',7,3,19449
'530330008002019',9,2,19449
'530330008002019',11,1,19449
'530330009001001',4,1,14371
'530330009001001',7,8,14371
'530330009001001',9,1,14371
'530330009001002',5,1,26265
'530330009001002',7,1,26265
'530330009001002',11,1,26265
'530330009001003',2,1,26274
'530330009001003',7,2,26274
'530330009001004',9,1,26276
'530330009001005',2,2,26277
'530330009001005',4,2,26277
'530330009001005',7,1,26277
'530330009001005',9,1,26277
'530330009001006',3,1,14364
'530330009001006',4,4,14364
'530330009001006',7,9,14364
'530330009001006',9,14,14364
'530330009001006',11,3,14364
'530330009001007',7,2,19087
'530330009001007',11,1,19087
'530330009001008',4,3,18986
'530330009001008',7,2,18986
'530330009001010',2,1,4177
'530330009001010',5,1,4177
'530330009001010',7,3,4177
'530330009001010',8,1,4177
'530330009001010',9,2,4177
'530330009001010',11,6,4177
'530330009001011',7,1,19443
'530330009001011',8,1,19443
'530330009001011',11,1,19443
'530330009001012',7,11,19444
'530330009001012',11,1,19444
'530330009001013',2,4,19437
'530330009001013',8,1,19437
'530330009001013',9,2,19437
'530330009001013',11,1,19437
'530330009001014',5,1,18987
'530330009001014',7,1,18987
'530330009001016',2,1,19442
'530330009001016',7,11,19442
'530330009001016',11,1,19442
'530330009001018',7,1,19440
'530330009001018',11,2,19440
'530330009001019',7,2,19439
'530330009002001',5,1,17465
'530330009002001',7,4,17465
'530330009002001',9,3,17465
'530330009002005',7,1,14369
'530330009002005',9,1,14369
'530330009002006',7,4,23807
'530330009002006',9,1,23807
'530330009002006',11,1,23807
'530330009002008',9,1,14362
'530330009002009',7,2,14368
'530330009002009',11,1,14368
'530330009002010',7,1,19431
'530330009002015',7,6,19432
'530330009002016',2,7,19430
'530330009002017',7,6,19428
'530330009002017',9,1,19428
'530330009002018',5,1,19427
'530330009002018',11,1,19427
'530330009002019',7,1,17466
'530330009002023',2,13,18468
'530330009002023',7,2,18468
'530330009002023',8,1,18468
'530330009002023',11,2,18468
'530330009002024',7,4,19433
'530330009002024',8,1,19433
'530330009002025',2,2,19429
'530330009002028',11,1,20655
'530330010001000',5,1,4015
'530330010001000',7,1,4015
'530330010001001',7,24,4014
'530330010001001',9,55,4014
'530330010001001',10,12,4014
'530330010001001',11,2,4014
'530330010001002',8,5,4017
'530330010001002',13,107,4017
'530330010001003',2,2,4016
'530330010001004',5,1,26510
'530330010001004',7,2,26510
'530330010001005',5,15,26509
'530330010001005',10,44,26509
'530330010001005',11,3,26509
'530330010001006',2,2,26512
'530330010001007',2,4,19105
'530330010001007',3,3,19105
'530330010001007',4,2,19105
'530330010001007',5,1,19105
'530330010001007',7,31,19105
'530330010001007',9,168,19105
'530330010001007',10,21,19105
'530330010001007',11,2,19105
'530330010001007',12,34,19105
'530330010001008',2,1,14980
'530330010001008',4,1,14980
'530330010001008',7,22,14980
'530330010001008',8,2,14980
'530330010001008',9,1,14980
'530330010001008',10,1,14980
'530330010001008',11,2,14980
'530330010001009',2,22,14977
'530330010001009',4,5,14977
'530330010001009',5,5,14977
'530330010001009',7,-6,14977
'530330010001009',8,1,14977
'530330010001009',11,1,14977
'530330010001009',13,3,14977
'530330010001010',2,3,26511
'530330010001010',3,1,26511
'530330010001010',4,3,26511
'530330010001010',7,2,26511
'530330010002000',8,55,14978
'530330010002000',11,27,14978
'530330010002000',12,38,14978
'530330010002000',13,103,14978
'530330010002001',2,2,14979
'530330010002001',4,1,14979
'530330010002001',5,4,14979
'530330010002001',7,11,14979
'530330010002001',9,4,14979
'530330010002001',11,3,14979
'530330010002002',5,17,14983
'530330010002002',7,1,14983
'530330010002002',9,1,14983
'530330010002002',11,1,14983
'530330010002003',2,1,13696
'530330010002003',4,2,13696
'530330010002003',5,1,13696
'530330010002003',7,2,13696
'530330010002003',9,1,13696
'530330010002003',11,2,13696
'530330010002004',2,4,13700
'530330010002004',5,1,13700
'530330010002004',9,1,13700
'530330010002006',3,1,13702
'530330010002006',7,1,13702
'530330010002006',11,1,13702
'530330010002007',4,1,13697
'530330010002007',7,14,13697
'530330010002007',8,31,13697
'530330010002007',11,1,13697
'530330010002007',13,59,13697
'530330010002008',2,2,13698
'530330010002008',4,8,13698
'530330010002008',7,5,13698
'530330010002008',10,3,13698
'530330010002008',11,2,13698
'530330010002009',4,9,13699
'530330010002009',5,10,13699
'530330010002009',11,2,13699
'530330010002010',5,0,14985
'530330011001000',2,1,26508
'530330011001000',5,47,26508
'530330011001000',7,4,26508
'530330011001000',9,1,26508
'530330011001000',11,5,26508
'530330011001001',7,4,26500
'530330011001001',10,1,26500
'530330011001001',11,2,26500
'530330011001002',7,2,26495
'530330011001002',8,3,26495
'530330011001002',9,1,26495
'530330011001002',11,1,26495
'530330011001003',4,3,26494
'530330011001003',5,1,26494
'530330011001003',7,4,26494
'530330011001003',9,1,26494
'530330011001003',11,2,26494
'530330011001004',7,1,26487
