record_id,county_id,"county_building_use_code","county_building_use_description",generic_building_use_1,building_type_id,"building_type_name",record_count
247,35,"862","Condo Low Rise",2,4,"condo_residential",3543
248,35,"863","Condo High Rise",2,4,"condo_residential",1105
249,35,"864","Condo Apartment Low Rise",2,4,"condo_residential",358
250,35,"865","Condo Apartment High Rise",2,4,"condo_residential",298
251,35,"51","Condo - Owner",2,4,"condo_residential",16150
252,35,"52","Condo - Tenant",2,4,"condo_residential",545
253,35,"53","Condo - Other",2,4,"condo_residential",15
254,33,"322","FIRE STATION (STAFFED) (322)",7,5,"government",157
255,33,"327","GOVERNMENT BUILDING (327)",7,5,"government",179
256,33,"335","JAIL-CORRECTIONAL FACILITY (335)",7,5,"government",7
257,33,"337","LIBRARY, PUBLIC (337)",7,5,"government",78
258,35,"346","Post Office",7,5,"government",1
259,33,"427","FIRE STATION (VOLUNTEER) (427)",7,5,"government",18
260,33,"489","JAIL - POLICE STATION (489)",7,5,"government",5
261,33,"491","GOVERNMENT COMMUNITY SERVICE BUILDING (491)",7,5,"government",103
262,33,"581","POST OFFICE - MAIN(581)",7,5,"government",6
263,33,"582","POST OFFICE - BRANCH(582)",7,5,"government",27
264,33,"583","POST OFFICE - MAIL PROCESSING(583)",7,5,"government",3
265,35,"Fire Station Staffed","COMMERCIAL",7,5,"government",32
266,35,"Fire Station Volunteer","COMMERCIAL",7,5,"government",13
267,35,"Government Building","COMMERCIAL",7,5,"government",10
268,35,"Jail","COMMERCIAL",7,5,"government",2
269,35,"Post Office","COMMERCIAL",7,5,"government",12
270,35,"Post Office, Branch","COMMERCIAL",7,5,"government",3
271,35,"School Administration","COMMERCIAL",7,5,"government",7
272,35,"322","Fire Station Staffed",7,5,"government",4
273,35,"327","Government Building",7,5,"government",38
274,35,"427","Fire Station - Volunteer",7,5,"government",1
275,35,"957","Government",7,5,"government",282
276,61,"FIRESTAF",NULL,7,5,"government",6
277,61,"GOV CSB","Gov Community Service Bldg",7,5,"government",7
278,61,"GOVTBLDG","Government Building",7,5,"government",134
279,61,"JAIL PS","Jail - Police Station",7,5,"government",1
280,61,"MUNIGAR","Municipal Service Garage",7,5,"government",1
281,61,"POSTOFFB","Post Office, Branch",7,5,"government",1
282,33,"321","DORMITORY (321)",8,6,"group_quarter",90
283,33,"324","FRATERNITY HOUSE (324)",8,6,"group_quarter",60
284,33,"330","HOME FOR THE ELDERLY (330)",8,6,"group_quarter",26
285,33,"424","GROUP CARE HOME (424)",8,6,"group_quarter",92
286,33,"451","MULTIPLE RESIDENCE (SENIOR CITIZEN) (451)",8,6,"group_quarter",98
287,33,"551","ROOMING HOUSE (551)",8,6,"group_quarter",326
288,33,"589","MULTIPLE RESIDENCES ASSISTED LIVING (LOW RISE)",8,6,"group_quarter",92
289,35,"710","MULTIPLE RESIDENCE, RETIREMENT COMMUNITY COMPLEX",8,6,"group_quarter",12
290,33,"982","CONGREGATE HOUSING (982)",8,6,"group_quarter",30
291,35,"Fraternity House","COMMERCIAL",8,6,"group_quarter",2
292,35,"Group Care Facility","COMMERCIAL",8,6,"group_quarter",9
293,35,"Home For The Elderly","COMMERCIAL",8,6,"group_quarter",1
294,35,"Multiple Res Senior-Low Rise","COMMERCIAL",8,6,"group_quarter",7
295,35,"Multiple Res-Assisted Living","COMMERCIAL",8,6,"group_quarter",5
296,35,"Rooming House","COMMERCIAL",8,6,"group_quarter",20
297,35,"School Dormitory","COMMERCIAL",8,6,"group_quarter",11
298,35,"Senior Care Facility","COMMERCIAL",8,6,"group_quarter",7
299,35,"312","Multiple - Elderly Assisted Living",8,6,"group_quarter",1
300,35,"321","Dormitory Residence Halls",8,6,"group_quarter",1
301,35,"330","Home For the Elderly",8,6,"group_quarter",1
302,35,"351","Multiple - Senior Citizens",8,6,"group_quarter",1
303,35,"890","Geriatric Services",8,6,"group_quarter",171
304,35,"1312","Multiple Residences - Retirement Complex",8,6,"group_quarter",14
305,61,"MULTRESA","Multiple Res-Assisted Living",8,6,"group_quarter",1
306,61,"MULTRESR","Multiple Res-Retirement Com",8,6,"group_quarter",4
307,61,"NURSHOME","Nursing Home",8,6,"group_quarter",63
308,61,"SCHDORM","School Dormitory",8,6,"group_quarter",11
309,33,"186","Light Commercial Manufacturing Utility Bldg (186)",5,8,"industrial",7
310,33,"313","CONVALESCENT HOSPITAL (313)",7,7,"hospital",77
311,33,"331","HOSPITAL (331)",7,7,"hospital",63
312,35,"431","OUTPATIENT SURGICAL CENTER (431)",7,7,"hospital",1
313,35,"Convalescent Hospital","COMMERCIAL",7,7,"hospital",20
314,35,"Hospital","COMMERCIAL",7,7,"hospital",3
315,33,"392","INDUSTRIAL ENGINEERING BUILDING (392)",5,8,"industrial",75
316,33,"453","INDUSTRIAL FLEX BUILDINGS (453)",5,8,"industrial",179
317,33,"470","EQUIPMENT (SHOP) BUILDING (470)",5,8,"industrial",317
318,33,"494","INDUSTRIAL LIGHT MANUFACTURING (494)",5,8,"industrial",1385
319,33,"495","INDUSTRIAL HEAVY MANUFACTURING (495)",5,8,"industrial",47
320,35,"Heavy Manufacturing","COMMERCIAL",5,8,"industrial",1
321,35,"Industrial Flex Mall Bldg","COMMERCIAL",5,8,"industrial",7
322,35,"Industrial Office","COMMERCIAL",5,8,"industrial",6
323,35,"Light Manufacturing","COMMERCIAL",5,8,"industrial",43
324,35,"210","Industrial Flex Mall Building",5,8,"industrial",1
325,35,"213","Light Industrial Shell Buildings",5,8,"industrial",11
326,35,"333","Indust Heavy Manufacturing",5,8,"industrial",5
327,35,"334","Indust Lght Manufacturing",5,8,"industrial",5
328,35,"338","Loft - Industrial",5,8,"industrial",2
329,35,"920","Heavy Industrial",5,8,"industrial",133
330,35,"930","Light Industrial",5,8,"industrial",616
331,61,"HMFG","Heavy Manufacturing",5,8,"industrial",27
332,61,"INDSHELL",NULL,5,8,"industrial",1
333,61,"INDOFF","Industrial Office",5,8,"industrial",53
334,61,"LFTMHG","Loft Manufacturing",5,8,"industrial",167
335,61,"LMFG","Light Manufacturing",5,8,"industrial",595
336,61,"MILLMHG","Mill - Manufacturing",5,8,"industrial",32
337,33,"459","MIXED RETAIL W/RES. UNITS (459)",6,10,"mixed_use",467
338,33,"597","Mixed Retail w/ Office Units (597)",6,10,"mixed_use",9
339,33,"830","MIXED USE RETAIL (830)",6,10,"mixed_use",321
340,33,"840","MIXED USE OFFICE (840)",6,10,"mixed_use",300
341,33,"847","MIXED USE-OFFICE CONDO (847)",6,10,"mixed_use",25
342,33,"848","MIXED USE-RETAIL CONDO (848)",6,10,"mixed_use",48
343,35,"Mixed Retail w/ Office Units","COMMERCIAL",6,10,"mixed_use",1
344,35,"Mixed Retail w/Residential","COMMERCIAL",6,10,"mixed_use",12
345,61,"MIXEDO","Mixed Retail w/ Office Units",6,10,"mixed_use",1
346,61,"MIXEDR","Mixed Retail w/Residential",6,10,"mixed_use",2
347,35,"Manufactured home","DWELLING",1,11,"mobile_home",7615
348,35,"110","Mobile or Manufactured Home",1,11,"mobile_home",10561
349,35,"880","MH Park",1,11,"mobile_home",283
350,35,"881","RV Park",1,11,"mobile_home",15
351,35,"2","Two Unit Res Bldg",2,12,"multi_family_residential",7179
352,35,"3","Three Unit Res Bldg",2,12,"multi_family_residential",1819
353,35,"4","Four Unit Res Bldg",2,12,"multi_family_residential",10
354,33,"300","APARTMENT (300)",2,12,"multi_family_residential",2506
355,33,"338","LOFT (338)",2,12,"multi_family_residential",41
356,33,"352","MULTIPLE RESIDENCE (LOW RISE) (352)",2,12,"multi_family_residential",8358
357,35,"4-6 family","DWELLING",2,12,"multi_family_residential",174
358,35,"Apartment","COMMERCIAL",2,12,"multi_family_residential",898
359,35,"Duplex","DWELLING",2,12,"multi_family_residential",1652
360,35,"Multi-family","DWELLING",2,12,"multi_family_residential",7
361,35,"Townhouse","DWELLING",2,12,"multi_family_residential",36
362,35,"Triplex","DWELLING",2,12,"multi_family_residential",97
363,35,"26","Studio Loft",2,12,"multi_family_residential",1
364,35,"102","Duplex",2,12,"multi_family_residential",5244
365,35,"103","Duplex Conv",2,12,"multi_family_residential",663
366,35,"106","Triplex",2,12,"multi_family_residential",382
367,35,"107","Triplex Conv",2,12,"multi_family_residential",155
368,35,"108","Townhouse",2,12,"multi_family_residential",2704
369,35,"109","Townhouse/Condo",2,12,"multi_family_residential",5470
370,35,"128","Apartment w/4-8 Units",2,12,"multi_family_residential",749
371,35,"129","Apartment Conv w/4-8 Units",2,12,"multi_family_residential",127
372,35,"298","Apts w/4-19 Units",2,12,"multi_family_residential",5
373,35,"300","Apartments (Hi-Rise)",2,12,"multi_family_residential",4
374,35,"352","Multiple - Residential",2,12,"multi_family_residential",11
375,35,"850","Apt Low Rise up to 19 Units",2,12,"multi_family_residential",1325
376,35,"851","Apt Low Rise 20 to 99 Units",2,12,"multi_family_residential",1673
377,35,"852","Apt Low Rise 100 Units Plus",2,12,"multi_family_residential",1658
378,35,"861","Apartment High Rise",2,12,"multi_family_residential",62
379,53,"2","Duplex",2,12,"multi_family_residential",3674
380,53,"3","Triplex",2,12,"multi_family_residential",288
381,53,"4","4-6 family",2,12,"multi_family_residential",141
382,53,"5","5",1,19,"single_family_residential",363
383,53,"44","Multi-family",2,12,"multi_family_residential",39
384,53,"61","Townhouse - Owner",2,12,"multi_family_residential",277
385,53,"62","Townhouse - Tenant",2,12,"multi_family_residential",44
386,53,"63","Townhouse - Other",2,12,"multi_family_residential",45
387,53,"70","Other residential",2,12,"multi_family_residential",48
388,61,"APART","Apartments",2,12,"multi_family_residential",2724
389,61,"APARTHRS","Apartment, High Rise, Shell",2,12,"multi_family_residential",1
390,33,"341","MEDICAL OFFICE (341)",3,13,"office",673
391,33,"344","OFFICE BUILDING (344)",3,13,"office",4256
392,33,"381","VETERINARY HOSPITAL (381)",3,13,"office",112
393,33,"444","DENTAL OFFICE/CLINIC (444)",3,13,"office",147
394,33,"496","LABORATORIES (496)",3,13,"office",48
395,33,"497","COMPUTER CENTER (497)",3,13,"office",4
396,33,"498","BROADCAST FACILITIES (498)",3,13,"office",7
397,33,"600","Administrative Office (600)",3,13,"office",20
398,33,"820","OPEN OFFICE (820)",3,13,"office",567
399,33,"845","CONDO, OFFICE (845)",3,13,"office",150
400,53,"Dental Clinic","COMMERCIAL",3,13,"office",22
401,53,"Laboratory","COMMERCIAL",3,13,"office",3
402,53,"Medical Office","COMMERCIAL",3,13,"office",102
403,53,"Office","COMMERCIAL",3,13,"office",497
404,53,"Relocatable Office","COMMERCIAL",3,13,"office",8
405,53,"Research/Development","COMMERCIAL",3,13,"office",1
406,53,"Veterinary Hospital","COMMERCIAL",3,13,"office",19
407,53,"341","Medical Offices",3,13,"office",2
408,53,"344","Office Building",3,13,"office",19
409,53,"382","Veterinary Office",3,13,"office",1
410,53,"474","Modular Office",3,13,"office",6
411,53,"544","Office-Apartment",3,13,"office",2
412,53,"554","Shed Office Structure",3,13,"office",159
413,53,"602","Administration Bldg",3,13,"office",1
414,53,"820","Office Class C",3,13,"office",1680
415,53,"821","Office Class B",3,13,"office",455
416,53,"822","Office Class A",3,13,"office",12
417,53,"830","Medical",3,13,"office",426
418,61,"GENOFF","General Office",3,13,"office",1670
419,61,"MEDOFF","Medical Office",3,13,"office",410
420,61,"MOBILEO","Relocatable Office",3,13,"office",4
421,61,"RESDEV","Research/Development",3,13,"office",111
422,33,"133","Prefabricated Storage Shed (133)",8,14,"outbuilding",5
423,33,"152","Residential Garage - Detached (152)",8,14,"outbuilding",11
424,33,"157","Maintenance Storage Building (157)",8,14,"outbuilding",8
425,53,"326","GARAGE, STORAGE (326)",8,14,"outbuilding",481
426,33,"339","LUMBER STORAGE SHED, HORIZONTAL (339)",8,14,"outbuilding",48
427,33,"390","Lumber Storage Bldg., Vert. (390)",8,14,"outbuilding",1
428,33,"432","RESTROOM BUILDING (432)",8,14,"outbuilding",177
429,33,"456","Tool Shed (456)",8,14,"outbuilding",4
430,33,"466","Boat Storage Shed (466)",8,14,"outbuilding",2
431,33,"467","Boat Storage Building (467)",8,14,"outbuilding",2
432,33,"468","SHED, MATERIAL STORAGE (468)",8,14,"outbuilding",217
433,33,"472","EQUIPMENT SHED (472)",8,14,"outbuilding",300
434,33,"523","Golf Cart Storage Building (523)",8,14,"outbuilding",6
435,33,"526","Service Garage Shed (526)",8,14,"outbuilding",2
436,33,"527","MUNICIPAL SERVICE GARAGE (527)",8,14,"outbuilding",11
437,53,"Equipment Shed","COMMERCIAL",8,14,"outbuilding",15
